TrainOrTest,Target,Location,Data split ratio,Median,OW,OW*,CWM,CEWM,SSIN,SSDE,RegE,RegC,RegS,Lambda_RegE,Lambda_RegC,Lambda_RegS
Test,2,5,2,-0.0121,-0.3247,0.1274,0.0032,-0.0349,0.1188,0.1188,0.0004,0.0045,0.1188,200.00,400.00,500.00
Test,2,5,3,0.0029,0.1377,0.1849,0.0530,-0.0315,0.1431,0.1431,0.1165,0.0530,0.1431,3500.00,1900.00,1100.00
Test,2,5,4,-0.0009,-0.0234,0.1556,0.0325,-0.0349,0.1438,0.0757,0.0026,0.0352,0.0787,500.00,500.00,600.00
Test,2,5,5,-0.0061,-0.0275,0.1683,0.0278,-0.0379,0.1147,0.1780,0.0000,0.0333,0.1780,28800.00,300.00,1200.00
Test,2,5,6,-0.0026,-0.1092,0.1812,0.0643,-0.0403,0.1735,0.0257,0.0024,0.0663,0.0278,700.00,600.00,600.00
Test,2,5,7,-0.0041,-0.1070,0.1846,0.0637,-0.0420,0.1782,0.1190,0.0098,0.0720,0.1255,800.00,700.00,800.00
Test,2,5,8,-0.0033,-0.0103,0.2039,0.0954,-0.0425,0.1886,0.1217,0.0047,0.0998,0.1217,500.00,500.00,100000.00
Test,2,5,9,-0.0124,0.1994,0.2819,0.2004,0.1093,0.2313,0.2632,0.0000,0.2005,0.2632,9500.00,300.00,94500.00
Test,2,6,1,0.0054,-51.7488,-0.1182,-0.0736,-0.0695,-0.1485,-0.2190,0.0079,-0.0736,-0.2130,4800.00,100.00,300.00
Test,2,6,2,-0.0066,-0.6401,-0.0153,-0.0666,-0.0786,-0.0313,-0.0848,-0.3650,-0.0666,-0.0848,0.07,38500.00,83700.00
Test,2,6,3,0.0187,-1.6099,0.0343,-0.0361,-0.0585,-0.0533,0.0117,-1.5119,-1.6067,-1.5133,0.01,0.00,0.01
Test,2,6,4,0.0146,-0.1978,-0.0068,-0.0696,-0.0737,-0.0742,-0.0663,0.0073,-0.0656,-0.0629,7.00,1300.00,400.00
Test,2,6,5,-0.0124,-0.1400,0.0069,-0.1286,-0.1163,-0.0486,-0.1178,0.0143,-0.0971,-0.1045,7.00,2400.00,800.00
Test,2,6,6,0.0168,-0.4368,-0.1054,-0.2486,-0.1833,-0.0838,-0.0905,-0.4365,-0.1262,-0.1396,0.00,3.00,3.00
Test,2,6,7,0.0204,-0.4113,-0.0774,-0.2531,-0.1916,-0.0883,-0.0927,-0.3932,-0.4110,-0.3776,0.02,0.00,0.04
Test,2,6,8,0.0282,-0.3913,-0.1020,-0.2851,-0.2133,-0.1011,-0.1255,-0.3695,-0.3628,-0.3709,0.03,0.04,0.03
Test,2,6,9,0.0002,-0.3603,-0.0870,-0.3606,-0.2678,-0.0428,-0.1485,-0.3600,-0.1366,-0.1485,0.00,1.00,12900.00
Test,2,7,1,-0.0245,-0.6960,0.1211,0.0840,0.0663,0.1020,0.1139,0.0364,0.1609,0.1141,7800.00,39800.00,2200.00
Test,2,7,2,-0.0300,0.0756,0.1113,0.0841,0.0802,0.1051,0.1051,0.1371,0.1699,0.1051,2.00,8600.00,49900.00
Test,2,7,3,-0.0242,0.1501,0.1621,0.1286,0.1052,0.1471,0.1560,0.1678,0.1286,0.1560,0.86,6200.00,5100.00
Test,2,7,4,-0.0255,0.0901,0.1264,0.1289,0.1132,0.1063,0.1380,0.1812,0.1289,0.1380,2.00,13700.00,14700.00
Test,2,7,5,-0.0192,-0.0692,0.1597,0.1196,0.1114,0.1138,0.1449,0.1816,0.1196,0.1449,3.00,60900.00,100000.00
Test,2,7,6,-0.0104,-0.0638,0.1199,0.0481,0.1039,0.1179,0.1107,0.0000,0.0495,0.1139,32400.00,3300.00,3200.00
Test,2,7,7,-0.0121,0.0431,0.0874,0.0362,0.0885,0.1261,0.1547,0.0838,0.0367,0.1552,50200.00,1100.00,1100.00
Test,2,7,8,-0.0118,-0.0353,0.0740,0.0408,0.1004,0.1158,0.1224,0.0000,0.0421,0.1224,77800.00,1400.00,67000.00
Test,2,7,9,-0.0211,-0.0457,0.0958,0.0189,0.0979,0.0996,0.1134,0.0887,0.0227,0.1134,6.00,1500.00,100000.00
Test,2,8,1,0.0254,-0.2292,0.0986,-0.0152,-0.0507,0.1227,0.1227,0.0000,0.0813,0.1227,26300.00,6200.00,8800.00
Test,2,8,2,0.0218,-0.2078,0.1024,-0.0453,-0.0543,0.1299,-0.0628,0.0229,-0.0453,-0.0627,0.59,100.00,100000.00
Test,2,8,3,0.0252,-0.2635,0.1244,-0.0137,-0.0618,0.1201,0.0552,-0.0992,-0.0137,0.0552,0.20,94000.00,96800.00
Test,2,8,4,0.0396,0.0071,0.1081,0.0694,0.0716,0.1022,0.1326,0.1361,0.0702,0.1330,3.00,400.00,300.00
Test,2,8,5,0.0425,-0.2608,0.1277,0.0061,-0.0570,0.0995,0.0541,-0.2605,0.0830,0.0533,0.00,9.00,400.00
Test,2,8,6,0.0858,-0.0633,0.0776,-0.0123,-0.0471,0.1051,0.0804,0.0217,0.0256,0.0837,0.17,0.20,400.00
Test,2,8,7,0.0691,-0.1010,0.0542,-0.0549,-0.0413,0.0573,0.0865,-0.1008,-0.0170,-0.0086,0.00,0.19,0.20
Test,2,8,8,0.0688,-0.1914,0.0555,-0.0429,-0.0488,0.0513,0.0019,-0.1912,-0.1912,-0.1926,0.00,0.00,0.00
Test,2,8,9,0.0864,-0.1635,0.0698,-0.0745,-0.0907,0.0881,0.0870,-0.0256,-0.0154,0.0870,0.28,0.29,800.00
Test,2,9,1,-0.1259,-1.9395,-0.6333,-0.2639,-0.1871,-0.4185,-0.2886,-0.0001,-0.2639,-0.2750,200.00,11000.00,30900.00
Test,2,9,2,-0.1563,-0.9494,-0.4795,-0.3025,-0.3142,-0.2573,-0.2640,-0.0453,-0.2336,-0.2640,5400.00,7800.00,36100.00
Test,2,9,3,-0.1796,-0.2575,-0.1905,-0.3225,-0.2355,-0.1696,-0.1698,0.0000,-0.3225,-0.1698,1400.00,23200.00,99800.00
Test,2,9,4,-0.1553,-0.2868,-0.1992,-0.1907,-0.1715,-0.2048,-0.2190,0.0000,-0.1907,-0.2190,5100.00,4100.00,500.00
Test,2,9,5,-0.2881,-0.4399,-0.1264,-0.4034,-0.3250,-0.0928,-0.1475,-0.0010,-0.4034,-0.1475,400.00,6000.00,2000.00
Test,2,9,6,-0.0452,-0.3922,-0.0454,-0.1320,-0.0935,-0.0469,-0.0543,-0.0010,-0.1121,-0.0543,500.00,500.00,7700.00
Test,2,9,7,-0.0609,-0.3847,-0.0360,-0.1774,-0.1249,-0.0256,-0.0524,0.0000,-0.1738,-0.0524,700.00,500.00,700.00
Test,2,9,8,-0.0637,-0.4613,-0.0515,-0.1866,-0.1329,-0.0475,-0.0585,0.0000,-0.1704,-0.0586,54300.00,600.00,600.00
Test,2,9,9,-0.1972,-0.5992,-0.0588,-0.5750,-0.4137,-0.1260,-0.1820,0.0000,-0.5750,-0.1820,24600.00,6000.00,2500.00
Test,2,10,1,-0.0358,-1.6397,-0.0156,0.0321,-0.0082,0.0274,-0.2085,0.0000,0.0321,-0.2085,58000.00,4900.00,3300.00
Test,2,10,2,-0.0344,-0.2368,-0.0122,-0.0440,-0.0484,0.0102,0.0102,-0.1816,-0.1540,0.0102,0.59,0.67,27800.00
Test,2,10,3,-0.0362,-0.1666,0.0004,-0.0244,-0.0143,0.0064,0.0064,-0.0904,-0.0590,0.0064,0.83,1.00,100.00
Test,2,10,4,-0.0077,-0.1525,0.0068,0.0574,0.0468,-0.0248,-0.0248,-0.0118,-0.0009,-0.0248,1.00,1.00,100000.00
Test,2,10,5,0.0162,-0.1001,0.0245,0.0430,0.0772,0.0251,0.0017,-0.0111,0.0430,0.0017,0.62,10800.00,100000.00
Test,2,10,6,0.0354,-0.1040,0.0195,0.0462,0.0650,-0.0088,0.0177,-0.0136,-0.0185,0.0177,0.85,0.61,1600.00
Test,2,10,7,-0.0212,-0.1194,-0.0352,-0.0119,0.0060,-0.0261,-0.0333,-0.0589,-0.0526,-0.0333,0.98,0.91,11000.00
Test,2,10,8,-0.0158,-0.1313,-0.0658,-0.0585,0.0054,-0.0810,-0.0754,-0.0783,-0.0585,-0.0626,1.00,11000.00,3900.00
Test,2,10,9,-0.0342,-0.1175,0.0038,-0.0269,0.0160,-0.0307,-0.0224,-0.0013,-0.0100,-0.0224,2.00,7300.00,27700.00
Test,2,11,1,-0.0641,-56.4732,-0.1810,-0.1135,-0.1460,-0.2513,-0.2811,0.1078,-0.1307,-0.2811,46500.00,83000.00,38500.00
Test,2,11,2,-0.0694,-0.2267,-0.0122,-0.1063,-0.1571,-0.2971,0.0301,-0.1282,-0.1063,0.0301,3.00,8600.00,2000.00
Test,2,11,3,-0.0562,-0.0775,-0.0010,-0.0872,-0.1408,0.0408,0.0111,-0.0002,-0.0070,0.0224,0.04,2600.00,1000.00
Test,2,11,4,-0.0387,-0.1416,0.0800,-0.0948,-0.1390,0.0385,0.0336,0.1585,-0.0924,0.0336,0.45,1400.00,70100.00
Test,2,11,5,-0.0297,0.1188,0.1571,-0.1130,-0.1508,0.0561,0.0384,0.0020,-0.1033,0.0384,100.00,800.00,1100.00
Test,2,11,6,-0.0066,0.0253,0.1061,-0.0785,-0.1027,0.1968,0.1005,0.2110,-0.0728,0.1005,0.39,900.00,1100.00
Test,2,11,7,-0.0071,0.0718,0.1359,-0.0742,-0.1024,0.2049,0.1050,0.1903,-0.0581,0.1203,3.00,1300.00,1600.00
Test,2,11,8,0.0002,0.0342,0.1208,-0.0767,-0.1044,0.1325,0.1019,0.1738,-0.0393,0.1335,3.00,1800.00,1800.00
Test,2,11,9,0.0122,0.1731,0.2296,-0.0403,-0.0969,0.3411,0.1838,0.2383,-0.0097,0.2105,3.00,2000.00,2100.00
Test,3,1,1,-0.0232,-2.4919,-0.2161,-0.1474,-0.1536,-0.2817,-0.2819,-0.3560,-0.1474,-0.2767,87400.00,40100.00,7000.00
Test,3,1,2,-0.0329,-0.1713,-0.0442,-0.1541,-0.1661,-0.1256,-0.0415,-0.0329,-0.1138,0.0122,4.00,20400.00,25500.00
Test,3,1,3,-0.0179,-1.0607,0.0043,-0.1355,-0.1577,-0.0222,-0.0222,0.0165,-0.0397,-0.0222,6600.00,11300.00,37100.00
Test,3,1,4,-0.0383,-0.2916,-0.1458,-0.1899,-0.1922,-0.1872,-0.3042,0.0000,-0.1899,-0.3042,100.00,100.00,100.00
Test,3,1,5,-0.0514,-0.2179,-0.1476,-0.2129,-0.2142,-0.2229,-0.0817,-0.0768,-0.2129,-0.0817,0.78,39000.00,2700.00
Test,3,1,6,-0.0527,0.0253,0.0189,-0.2041,-0.2090,-0.0354,-0.0830,-0.0206,-0.2041,-0.0830,4.00,8700.00,9400.00
Test,3,1,7,-0.0583,-0.0218,0.0201,-0.2225,-0.2210,0.0093,-0.0838,-0.0090,-0.2225,-0.0838,3.00,6800.00,200.00
Test,3,1,8,-0.0500,-0.0411,0.0271,-0.2178,-0.2143,0.0211,-0.0918,0.0131,-0.2178,-0.0918,0.86,70800.00,21500.00
Test,3,1,9,-0.0417,-0.0288,0.0510,-0.2065,-0.2055,0.0444,0.0194,0.0420,0.0202,0.0194,1.00,1.00,27700.00
Test,3,2,1,0.1332,-3.9786,0.1752,0.1453,0.1208,0.1247,0.1236,0.0000,0.1453,0.1236,100000.00,100000.00,35600.00
Test,3,2,2,0.0613,-0.2468,0.1524,0.0651,0.0692,0.0599,0.1333,0.0603,0.0772,0.1235,1.00,16400.00,12200.00
Test,3,2,3,0.0498,-0.2662,0.1412,0.0670,0.0694,0.0431,0.0431,0.1050,0.0670,0.0489,2.00,73700.00,600.00
Test,3,2,4,0.0514,-0.3152,0.0815,0.0726,0.0449,0.1062,0.1051,-0.1630,-0.1687,0.1027,0.37,0.35,1100.00
Test,3,2,5,0.0350,-0.3238,0.0645,0.0451,0.0231,0.0603,0.0790,-0.1357,0.0520,0.0776,1.00,700.00,600.00
Test,3,2,6,0.0524,-0.2570,0.0358,0.0542,0.0393,0.0305,0.0506,-0.2229,-0.1914,-0.2228,0.23,0.53,0.22
Test,3,2,7,0.0489,-0.2890,0.0136,0.0561,0.0419,0.0251,0.0419,-0.2823,-0.2595,-0.1732,0.06,0.30,1.00
Test,3,2,8,0.0402,-0.2295,0.0263,0.0642,0.0480,0.0254,0.0425,-0.2192,-0.2148,-0.1487,0.10,0.17,1.00
Test,3,2,9,-0.0119,-0.1521,-0.0647,-0.0273,-0.0282,-0.0391,-0.0345,-0.2020,-0.1901,-0.1945,0.82,1.00,1.00
Test,3,3,1,-0.0031,-1.5739,-0.0437,-0.0714,-0.0874,0.0243,0.0094,0.0000,-0.0714,0.0094,22500.00,12600.00,5900.00
Test,3,3,2,-0.0247,-0.0331,0.0239,-0.0884,-0.1143,0.0958,0.0958,0.0000,-0.0884,0.0958,16100.00,20200.00,35100.00
Test,3,3,3,-0.0288,0.0418,0.0591,-0.0802,-0.1115,0.0901,0.0901,0.0692,-0.0273,0.0934,0.23,9000.00,7300.00
Test,3,3,4,-0.0139,-0.0484,0.0494,-0.0632,-0.0907,0.0527,0.0527,0.0000,-0.0632,0.0527,20900.00,26100.00,10100.00
Test,3,3,5,-0.0140,-0.0009,0.0579,-0.0654,-0.0911,0.0538,0.0538,0.0000,-0.0654,0.0538,26800.00,41100.00,17300.00
Test,3,3,6,-0.0074,0.0465,0.0916,-0.0438,-0.0759,0.0494,0.0840,-0.0060,-0.0438,0.0840,100.00,27700.00,8600.00
Test,3,3,7,-0.0260,-0.0005,0.0603,-0.0780,-0.1002,-0.0241,-0.0103,-0.0184,-0.0342,-0.0103,100.00,9100.00,12500.00
Test,3,3,8,-0.0289,0.0529,0.0566,-0.1199,-0.1260,-0.0047,-0.0639,-0.0346,-0.0328,-0.0639,100.00,17000.00,8400.00
Test,3,3,9,0.0059,0.0004,0.1059,-0.0585,-0.1086,0.0718,0.0718,0.1159,0.0785,0.0793,4.00,19800.00,1100.00
Test,3,4,1,0.0114,-16.7801,-0.5261,-0.0696,-0.0785,-0.6177,-0.6177,-0.0266,-0.0696,-0.6177,100.00,92800.00,11400.00
Test,3,4,2,-0.0387,-0.7695,-0.7127,-0.1243,-0.1307,-0.7339,-0.7339,-0.4254,-0.1376,-0.7346,2.00,46200.00,800.00
Test,3,4,3,0.0195,-0.9198,-0.6953,-0.0622,-0.0689,-0.7614,-0.7614,-0.3246,-0.1007,-0.8073,2.00,100000.00,43200.00
Test,3,4,4,0.0059,-0.2267,-0.0914,-0.0732,-0.0746,-0.0803,-0.0803,-0.1611,-0.0710,-0.0836,3.00,900.00,1800.00
Test,3,4,5,-0.0113,-0.2020,-0.0984,-0.0954,-0.0982,-0.0862,-0.0906,-0.1361,-0.0582,-0.0851,3.00,28600.00,7300.00
Test,3,4,6,0.0338,-0.2155,-0.0423,-0.0651,-0.0669,-0.0019,-0.0187,-0.0188,-0.0651,-0.0106,18.00,28500.00,5600.00
Test,3,4,7,0.0211,-0.2376,-0.0273,-0.0865,-0.0857,-0.0179,-0.0618,-0.0204,-0.0492,-0.0491,7.00,6500.00,5300.00
Test,3,4,8,0.0127,-0.1551,-0.0467,-0.1029,-0.0998,-0.0726,-0.0793,-0.0315,-0.1029,-0.0793,7.00,50400.00,22700.00
Test,3,4,9,0.0150,-0.1784,-0.0333,-0.1407,-0.1255,-0.1091,-0.0964,-0.0568,-0.0750,-0.0668,11.00,19100.00,10100.00
Test,3,5,1,-0.0542,-1.4163,0.0160,-0.0763,-0.1039,0.0212,-0.0381,0.0775,0.0285,-0.0159,5300.00,5900.00,2200.00
Test,3,5,2,-0.0617,-0.1598,0.0550,-0.0754,-0.1057,0.0449,0.0693,-0.1103,-0.0846,0.0693,0.13,0.33,61800.00
Test,3,5,3,-0.0414,0.0329,0.0823,0.0046,-0.0517,0.0576,0.0696,0.0055,0.0122,0.0722,400.00,400.00,400.00
Test,3,5,4,-0.0485,-0.0600,0.0652,-0.0403,-0.0714,0.0450,0.0450,0.0000,-0.0403,0.0450,900.00,600.00,600.00
Test,3,5,5,-0.0581,-0.1212,0.0912,-0.0579,-0.0805,0.0331,0.0273,-0.0049,0.0168,0.0273,0.52,15.00,900.00
Test,3,5,6,-0.0651,-0.1508,0.0805,-0.0327,-0.0773,0.0682,-0.0076,-0.0960,-0.1016,-0.0076,0.31,0.28,1000.00
Test,3,5,7,-0.0696,-0.1990,0.0865,-0.0376,-0.0820,0.0563,0.0563,-0.0640,-0.0782,0.0563,0.71,0.64,1400.00
Test,3,5,8,-0.0696,-0.1996,0.0915,-0.0243,-0.0794,0.0675,0.0675,0.0639,0.0447,0.0675,3.00,10.00,2300.00
Test,3,5,9,-0.0790,-0.0517,0.1425,0.0736,-0.0557,0.1067,0.1067,0.1214,0.0896,0.1067,5.00,1700.00,70100.00
Test,3,6,1,0.0274,-0.4386,-0.0114,-0.0247,-0.0220,-0.0687,-0.0687,0.0507,-0.0247,-0.0687,100.00,100000.00,89500.00
Test,3,6,2,0.0161,-0.2049,-0.0616,-0.0341,-0.0328,-0.1329,-0.1207,-0.2115,-0.0319,-0.1207,0.09,6700.00,800.00
Test,3,6,3,0.0652,-0.7002,-0.0145,0.0229,0.0186,0.0423,0.0220,-0.6998,-0.6998,0.0340,0.00,0.00,7.00
Test,3,6,4,0.0527,-0.0251,0.0271,0.0018,-0.0005,0.0421,0.0328,0.0469,0.0018,0.0328,16.00,700.00,900.00
Test,3,6,5,-0.0132,-0.0470,-0.0277,-0.0786,-0.0727,-0.0310,-0.0252,-0.0215,-0.0468,-0.0150,17.00,1400.00,1400.00
Test,3,6,6,0.0250,-0.3501,-0.1232,-0.0991,-0.0337,-0.0945,-0.0764,-0.2754,-0.2700,-0.2910,1.00,1.00,0.84
Test,3,6,7,0.0093,-0.3532,-0.0920,-0.1177,-0.0517,-0.0477,-0.0856,-0.3208,-0.3224,-0.2964,0.41,0.36,0.66
Test,3,6,8,0.0175,-0.3466,-0.1029,-0.1460,-0.0726,-0.0991,-0.1058,-0.3271,-0.3061,-0.3116,0.46,0.70,0.68
Test,3,6,9,-0.0749,-0.2462,-0.1126,-0.2576,-0.1944,-0.0953,-0.1412,-0.2380,-0.2377,-0.1344,0.08,0.07,2.00
Test,3,7,1,-0.0751,-0.7726,0.0651,-0.0393,-0.0884,0.0240,0.0218,0.0000,-0.0393,0.0218,32100.00,19500.00,100000.00
Test,3,7,2,-0.0830,-0.2112,0.0621,-0.0208,-0.0356,0.0392,0.0392,0.0879,0.0699,0.0392,2.00,4.00,62100.00
Test,3,7,3,-0.0726,-0.0838,0.1264,0.0967,0.0761,0.1089,0.1242,0.0853,0.0330,0.1255,0.99,0.41,900.00
Test,3,7,4,-0.0654,0.0431,0.0699,0.0953,0.0749,0.0726,0.0854,0.0489,0.0956,0.0865,5.00,1200.00,1500.00
Test,3,7,5,-0.0634,-0.0817,0.0922,0.0684,0.0838,0.0773,0.0651,-0.0361,-0.0477,-0.0448,0.44,0.29,0.42
Test,3,7,6,-0.0319,-0.3064,0.0226,-0.0755,0.0326,0.0687,0.0687,-0.1394,-0.2293,0.0715,2.00,0.69,4400.00
Test,3,7,7,-0.0361,-0.3823,-0.0226,-0.0904,0.0363,0.0100,0.0224,-0.1485,-0.1303,0.0224,4.00,4.00,4400.00
Test,3,7,8,-0.0389,-0.3934,-0.0290,-0.0941,0.0454,0.0419,0.0119,-0.1319,-0.3230,-0.3091,5.00,0.74,0.88
Test,3,7,9,-0.0497,-0.2838,0.0127,-0.0931,0.0219,0.0358,0.0418,-0.0452,-0.0674,0.0505,12.00,100.00,5000.00
Test,3,8,1,-0.0016,-1.3307,0.1162,-0.0103,-0.0233,0.0833,0.1034,0.0071,0.0247,0.1105,6800.00,23400.00,13000.00
Test,3,8,2,-0.0117,-0.1592,0.1142,-0.0319,-0.0320,0.0701,0.0633,0.1013,-0.0228,0.0680,0.50,3400.00,3200.00
Test,3,8,3,-0.0006,-0.3162,0.1115,0.0048,-0.0375,0.0453,0.1035,0.1481,0.0048,0.1521,3.00,18300.00,10600.00
Test,3,8,4,0.0184,-0.0635,0.0883,0.0666,0.0325,0.1208,0.1208,0.1132,0.0672,0.1210,3.00,100.00,100.00
Test,3,8,5,-0.0187,-0.3906,0.0424,-0.0564,-0.0503,0.0886,0.0886,0.0590,-0.1782,0.0886,10.00,0.48,500.00
Test,3,8,6,0.0220,-0.1044,0.0520,-0.0278,-0.0119,0.0570,0.0808,-0.0687,-0.0426,0.0821,0.36,1.00,400.00
Test,3,8,7,-0.0244,-0.1460,0.0027,-0.0897,-0.0536,0.0022,-0.0715,-0.1185,-0.1243,-0.0706,0.51,0.43,300.00
Test,3,8,8,-0.0318,-0.1723,-0.0048,-0.0953,-0.0630,-0.0123,0.0129,-0.1231,-0.1250,-0.0018,0.51,0.50,28.00
Test,3,8,9,-0.0337,-0.1877,-0.0032,-0.0992,-0.0694,0.0151,0.0330,0.0201,-0.1343,0.0330,10.00,0.77,96500.00
Test,3,9,1,-0.0926,-58.9511,-0.2481,-0.1557,-0.1589,-0.0944,-0.0196,0.0000,-0.1557,-0.0196,29100.00,7900.00,13500.00
Test,3,9,2,-0.1510,-0.5438,-0.2461,-0.2231,-0.2228,-0.1628,-0.1477,0.0000,-0.1917,-0.1388,100000.00,600.00,3100.00
Test,3,9,3,-0.1558,-0.2843,-0.2456,-0.2226,-0.2259,-0.0658,-0.0619,0.0000,-0.2159,-0.0619,90900.00,100.00,200.00
Test,3,9,4,-0.0933,-0.1884,-0.0549,-0.0966,-0.0302,-0.1216,-0.0831,0.0000,-0.0966,-0.0881,99100.00,3200.00,100.00
Test,3,9,5,-0.2187,-0.1006,-0.0462,-0.2927,-0.2810,0.0126,-0.0419,-0.0253,-0.2927,-0.0419,6.00,35100.00,94200.00
Test,3,9,6,-0.0056,-0.2465,0.0011,-0.0830,-0.0682,0.0093,0.0050,-0.2291,0.0440,0.0050,0.04,10.00,3000.00
Test,3,9,7,-0.0378,-0.0835,0.0176,-0.1316,-0.1141,0.0112,0.0062,-0.0835,0.0255,0.0062,0.00,9.00,21200.00
Test,3,9,8,-0.0495,-0.1679,0.0019,-0.1516,-0.1258,0.0137,0.0074,-0.1679,-0.1080,0.0076,0.00,8600.00,100.00
Test,3,9,9,-0.2550,-0.1538,-0.0955,-0.5324,-0.4700,-0.0659,-0.0807,-0.1149,-0.5324,-0.0807,7.00,4700.00,5300.00
Test,3,10,1,-0.0479,-3.1217,0.0009,-0.0594,-0.0181,-0.0419,-0.0419,0.0000,-0.0594,-0.0419,72800.00,37200.00,100000.00
Test,3,10,2,-0.0508,-0.1697,0.0118,-0.0751,-0.0758,0.0237,0.0234,-0.1723,-0.1767,-0.1545,0.62,0.59,0.36
Test,3,10,3,-0.0490,-0.3007,0.0136,-0.0694,-0.0727,0.0529,0.0529,-0.1270,-0.1276,0.0529,0.99,1.00,99400.00
Test,3,10,4,0.0010,-0.0216,0.0197,0.0299,0.0258,-0.0148,0.0378,0.0236,0.0589,0.0407,2.00,8.00,900.00
Test,3,10,5,0.0135,0.0124,0.0373,0.0334,0.0393,0.0436,0.0532,0.0401,0.0679,0.0532,2.00,9.00,11400.00
Test,3,10,6,0.0223,-0.0069,0.0256,0.0729,0.0653,0.0217,0.0217,0.0190,0.0328,0.0239,2.00,3.00,900.00
Test,3,10,7,-0.0037,-0.0087,0.0099,0.0517,0.0430,0.0005,-0.0075,-0.0004,0.0251,-0.0075,2.00,5.00,800.00
Test,3,10,8,0.0036,-0.0338,-0.0200,0.0353,0.0463,-0.0210,-0.0166,-0.0341,-0.0281,-0.0166,2.00,2.00,1500.00
Test,3,10,9,-0.0252,-0.0311,0.0060,-0.0005,0.0049,0.0077,0.0282,-0.0175,-0.0196,0.0282,2.00,2.00,4100.00
Test,3,11,1,-0.0977,-2.4859,-0.0200,-0.0993,-0.1175,-0.2184,-0.0310,-0.0644,-0.0189,0.0202,56800.00,44100.00,37800.00
Test,3,11,2,-0.1125,-0.2980,-0.0142,-0.1097,-0.1370,0.0073,-0.0001,-0.0069,0.0151,0.0277,0.35,10500.00,4700.00
Test,3,11,3,-0.0868,-0.0774,-0.0942,-0.0641,-0.0961,-0.2767,-0.0013,-0.0545,-0.0540,-0.0013,0.04,0.04,3500.00
Test,3,11,4,-0.0831,-0.0614,0.0011,-0.0780,-0.0981,-0.0104,-0.0155,-0.0730,-0.0780,-0.0155,5.00,100000.00,39100.00
Test,3,11,5,-0.0894,-0.0472,0.0832,-0.0987,-0.1136,-0.0810,-0.0585,-0.0157,-0.0987,-0.0585,8.00,1300.00,13900.00
Test,3,11,6,-0.0545,-0.1284,0.0396,-0.0643,-0.0805,0.0446,-0.0941,-0.0003,-0.1283,-0.0941,3.00,0.00,100000.00
Test,3,11,7,-0.0579,-0.0398,0.0636,-0.0646,-0.0810,-0.0128,0.0069,0.0233,-0.0646,0.0069,7.00,100000.00,1900.00
Test,3,11,8,-0.0619,-0.1019,0.0468,-0.0696,-0.0825,0.0408,0.0637,-0.0045,-0.0696,0.0637,10.00,800.00,2500.00
Test,3,11,9,-0.0512,0.0385,0.1311,-0.0482,-0.0699,0.0612,0.0820,0.0238,-0.0482,0.0820,13.00,1600.00,17500.00
Test,4,1,1,-0.0106,-4.1143,-0.2495,-0.0733,-0.0749,-0.1479,-0.2507,0.0018,-0.0733,-0.2507,2000.00,100000.00,67100.00
Test,4,1,2,-0.0254,-0.2223,-0.0316,-0.0915,-0.0942,-0.0229,-0.0229,-0.0503,-0.0915,-0.0229,0.62,700.00,1400.00
Test,4,1,3,0.0014,-1.2653,-0.0047,-0.0602,-0.0712,0.0092,0.0092,-0.3739,-0.0602,0.0092,0.36,27300.00,83800.00
Test,4,1,4,-0.0529,-0.4700,-0.1363,-0.1506,-0.1422,-0.1859,-0.1983,-0.1090,-0.1506,-0.1983,0.78,100.00,100.00
Test,4,1,5,-0.0836,-0.2294,-0.1318,-0.1914,-0.1816,-0.2389,-0.3090,-0.0900,-0.0995,-0.3090,0.76,0.67,9100.00
Test,4,1,6,-0.0630,-0.0839,0.0085,-0.1678,-0.1568,-0.0494,-0.0769,-0.0624,-0.0519,0.0022,6.00,6200.00,5800.00
Test,4,1,7,-0.0709,-0.1444,0.0105,-0.1767,-0.1639,-0.0703,-0.1050,-0.0265,-0.0863,-0.0407,3.00,7800.00,12600.00
Test,4,1,8,-0.0677,-0.1795,-0.0116,-0.1761,-0.1609,-0.0713,-0.1129,-0.0390,-0.1761,-0.1129,4.00,17000.00,8400.00
Test,4,1,9,-0.0644,-0.2488,0.0162,-0.1720,-0.1578,-0.0279,-0.0141,-0.0106,-0.0069,-0.0130,4.00,3.00,400.00
Test,4,2,1,0.1887,-1.1857,0.2413,0.1981,0.1731,0.1933,0.2035,0.0300,0.1998,0.2082,6100.00,2600.00,2800.00
Test,4,2,2,0.1453,-0.1355,0.1503,0.1272,0.1158,0.1185,0.1185,-0.0951,-0.0214,-0.0530,0.19,0.62,0.25
Test,4,2,3,0.1403,-0.1035,0.1971,0.1375,0.1189,0.1623,0.1690,-0.0318,-0.0211,0.1843,0.19,0.24,9.00
Test,4,2,4,0.1405,-0.1365,0.0840,0.1329,0.1135,0.1256,0.0970,-0.0695,-0.0696,0.0428,1.00,0.99,3.00
Test,4,2,5,0.1227,-0.2052,0.0929,0.1104,0.0918,0.0724,0.0696,-0.0382,-0.0332,0.0702,3.00,3.00,6100.00
Test,4,2,6,0.1478,-0.2830,0.0542,0.1085,0.1047,-0.0568,-0.0359,-0.1692,-0.1197,-0.0383,2.00,3.00,18500.00
Test,4,2,7,0.1561,-0.3128,0.0278,0.1082,0.1086,-0.0249,-0.0118,-0.1960,-0.1047,-0.0116,2.00,4.00,19800.00
